"Data Import Template"
"Table:","Item"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Item","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","~","UOM Conversion Detail","uoms","","","","~","Item Barcode","barcodes","","","","","~","Item Reorder","reorder_levels","","","","","","","~","Item Variant Attribute","attributes","","","","","","","","","","~","Item Default","item_defaults","","","","","","","","","","","","","","~","Item Supplier","supplier_items","","","","~","Item Customer Detail","customer_items","","","","","~","Item Tax","taxes","","","","","",""
"Column Labels:","ID","Item Code","Item Group","Default Unit of Measure","Created On","Created By","Item Name","Spec Sheet","Duty","VAT","Disabled","Allow Alternative Item","warranty","Maintain Stock","Has Variants","Opening Stock","Valuation Rate","Standard Selling Rate","Is Fixed Asset","Auto Create Assets on Purchase","Create Grouped Asset","Asset Category","Asset Naming Series","Over Delivery/Receipt Allowance (%)","Over Billing Allowance (%)","Description","Brand","Shelf Life In Days","End of Life","Default Material Request Type","Valuation Method","Warranty Period (in days)","Weight Per Unit","Weight UOM","Allow Negative Stock","Has Batch No","Automatically Create New Batch","Batch Number Series","Has Expiry Date","Retain Sample","Max Sample Quantity","Has Serial No","Serial Number Series","Variant Of","Variant Based On","Enable Deferred Expense","No of Months (Expense)","Enable Deferred Revenue","No of Months (Revenue)","Default Purchase Unit of Measure","Minimum Order Qty","Safety Stock","Allow Purchase","Lead Time in days","Last Purchase Rate","Is Customer Provided Item","Customer","Delivered by Supplier (Drop Ship)","Country of Origin","Customs Tariff Number","Default Sales Unit of Measure","Grant Commission","Allow Sales","Max Discount (%)","Inspection Required before Purchase","Quality Inspection Template","Inspection Required before Delivery","Include Item In Manufacturing","Supply Raw Materials for Purchase","Default BOM","Default Item Manufacturer","Default Manufacturer Part No","","ID","Created On","Created By","UOM","Conversion Factor","","ID","Barcode","Created On","Created By","Barcode Type","UOM","","ID","Request for","Material Request Type","Created On","Created By","Check in (group)","Re-order Level","Re-order Qty","","ID","Attribute","Created On","Created By","Variant Of","Attribute Value","Numeric Values","Disabled","From Range","Increment","To Range","","ID","Company","Created On","Created By","Default Warehouse","Default Price List","Default Discount Account","Default Buying Cost Center","Default Supplier","Default Expense Account","Default Provisional Account","Default Selling Cost Center","Default Income Account","Deferred Expense Account","Deferred Revenue Account","","ID","Supplier","Created On","Created By","Supplier Part Number","","ID","Ref Code","Created On","Created By","Customer Name","Customer Group","","ID","Item Tax Template","Created On","Created By","Tax Category","Valid From","Minimum Net Rate","Maximum Net Rate"
"Column Name:","name","item_code","item_group","stock_uom","creation","owner","item_name","custom_spec_sheet","custom_duty","custom_vat","disabled","allow_alternative_item","custom_warranty","is_stock_item","has_variants","opening_stock","valuation_rate","standard_rate","is_fixed_asset","auto_create_assets","is_grouped_asset","asset_category","asset_naming_series","over_delivery_receipt_allowance","over_billing_allowance","description","brand","shelf_life_in_days","end_of_life","default_material_request_type","valuation_method","warranty_period","weight_per_unit","weight_uom","allow_negative_stock","has_batch_no","create_new_batch","batch_number_series","has_expiry_date","retain_sample","sample_quantity","has_serial_no","serial_no_series","variant_of","variant_based_on","enable_deferred_expense","no_of_months_exp","enable_deferred_revenue","no_of_months","purchase_uom","min_order_qty","safety_stock","is_purchase_item","lead_time_days","last_purchase_rate","is_customer_provided_item","customer","delivered_by_supplier","country_of_origin","customs_tariff_number","sales_uom","grant_commission","is_sales_item","max_discount","inspection_required_before_purchase","quality_inspection_template","inspection_required_before_delivery","include_item_in_manufacturing","is_sub_contracted_item","default_bom","default_item_manufacturer","default_manufacturer_part_no","~","name","creation","owner","uom","conversion_factor","~","name","barcode","creation","owner","barcode_type","uom","~","name","warehouse","material_request_type","creation","owner","warehouse_group","warehouse_reorder_level","warehouse_reorder_qty","~","name","attribute","creation","owner","variant_of","attribute_value","numeric_values","disabled","from_range","increment","to_range","~","name","company","creation","owner","default_warehouse","default_price_list","default_discount_account","buying_cost_center","default_supplier","expense_account","default_provisional_account","selling_cost_center","income_account","deferred_expense_account","deferred_revenue_account","~","name","supplier","creation","owner","supplier_part_no","~","name","ref_code","creation","owner","customer_name","customer_group","~","name","item_tax_template","creation","owner","tax_category","valid_from","minimum_net_rate","maximum_net_rate"
"Mandatory:","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","No","No","No","No","","Yes","Yes","No","No","No","No","","Yes","Yes","Yes","No","No","No","No","No","","Yes","Yes","No","No","No","No","No","No","No","No","No","","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","Yes","No","No","No","","Yes","Yes","No","No","No","No","","Yes","Yes","No","No","No","No","No","No"
"Type:","Data","Data","Link","Link","Datetime","Link","Data","Attach","Int","Int","Check","Check","Text","Check","Check","Float","Currency","Currency","Check","Check","Check","Link","Select","Float","Float","Text Editor","Link","Int","Date","Select","Select","Data","Float","Link","Check","Check","Check","Data","Check","Check","Int","Check","Data","Link","Select","Check","Int","Check","Int","Link","Float","Float","Check","Int","Float","Check","Link","Check","Link","Link","Link","Check","Check","Float","Check","Link","Check","Check","Check","Link","Link","Data","","Data","Datetime","Link","Link","Float","","Data","Data","Datetime","Link","Select","Link","","Data","Link","Select","Datetime","Link","Link","Float","Float","","Data","Link","Datetime","Link","Link","Data","Check","Check","Float","Float","Float","","Data","Link","Datetime","Link","Link","Link","Link","Link","Link","Link","Link","Link","Link","Link","Link","","Data","Link","Datetime","Link","Data","","Data","Data","Datetime","Link","Link","Link","","Data","Link","Datetime","Link","Link","Date","Float","Float"
"Info:","","","Valid Item Group","Valid UOM","dd-mm-yyyy","Valid User","","","Integer","Integer","0 or 1","0 or 1","","0 or 1","0 or 1","","","","0 or 1","0 or 1","0 or 1","Valid Asset Category","","","","","Valid Brand","Integer","dd-mm-yyyy","One of: Purchase, Material Transfer, Material Issue, Manufacture, Customer Provided","One of: FIFO, Moving Average, LIFO","","","Valid UOM","0 or 1","0 or 1","0 or 1","","0 or 1","0 or 1","Integer","0 or 1","","Valid Item","One of: Item Attribute, Manufacturer","0 or 1","Integer","0 or 1","Integer","Valid UOM","","","0 or 1","Integer","","0 or 1","Valid Customer","0 or 1","Valid Country","Valid Customs Tariff Number","Valid UOM","0 or 1","0 or 1","","0 or 1","Valid Quality Inspection Template","0 or 1","0 or 1","0 or 1","Valid BOM","Valid Manufacturer","","","","dd-mm-yyyy","Valid User","Valid UOM","","","","","dd-mm-yyyy","Valid User","One of: EAN, UPC-A, CODE-39, EAN-12, EAN-8, GS1, GTIN, ISBN, ISBN-10, ISBN-13, ISSN, JAN, PZN, UPC","Valid UOM","","","Valid Warehouse","One of: Purchase, Transfer, Material Issue, Manufacture","dd-mm-yyyy","Valid User","Valid Warehouse","","","","","Valid Item Attribute","dd-mm-yyyy","Valid User","Valid Item","","0 or 1","0 or 1","","","","","","Valid Company","dd-mm-yyyy","Valid User","Valid Warehouse","Valid Price List","Valid Account","Valid Cost Center","Valid Supplier","Valid Account","Valid Account","Valid Cost Center","Valid Account","Valid Account","Valid Account","","","Valid Supplier","dd-mm-yyyy","Valid User","","","","","dd-mm-yyyy","Valid User","Valid Customer","Valid Customer Group","","","Valid Item Tax Template","dd-mm-yyyy","Valid User","Valid Tax Category","dd-mm-yyyy","",""
"Start entering data below this line"
"","""0.5mm Bucket - SE135W""","0.5mm Bucket - SE135W","Attachments","Unit","2025-05-08 10:39:40.756497","Administrator","0.5mm Bucket - SE135W","",0,0,0,0,"Warranty is 2000 Hours or 1 Year.",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>0.5mm Bucket - SE135W</p></div>","Shantui",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""4k2hgb0d4h""","2025-05-29 10:53:44.095929","takunda@industrial-exchange.group","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""um1o6mvjlm""","Machinery Exchange","2025-05-08 10:39:40.970998","Administrator","Finished Goods - ME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""1.2m Pallet fork and frame attachment""","1.2m Pallet fork and frame attachment","Attachments","Nos","2025-07-14 13:02:58.068358","rental@machinery-exchange.com","1.2m Pallet fork and frame attachment","",0,0,0,0,"2000 hours or 1 year",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>1.2m Pallet fork and frame attachment Bobcat 650</p></div>","",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""287tqoct70""","2025-07-14 13:02:58.096367","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""k16qeeoq55""","Sinopower","2025-07-14 13:02:58.097635","rental@machinery-exchange.com","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""100t/h full mobile crusher""","100t/h full mobile crusher","Crushers","Nos","2025-10-28 16:40:37.636460","rental@machinery-exchange.com","100t/h full mobile crusher","",0,0,0,0,"2000 hours or 1 year",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>100t/h full mobile crushing unit.</p><p>Hopper Embedded in steel structural parts, Vibrating feeder- 500mm 100 -120t/h, European Jaw crusher 500mm 100-200t/h</p><p><br></p></div>","other",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""7buqm5a651""","2025-10-28 16:40:37.691345","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""5726iomlca""","Sinopower","2025-10-28 16:40:37.692735","rental@machinery-exchange.com","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""e946e9k09j""","Machinery Exchange","2026-04-09 11:32:38.152402","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""120RT""","120RT","Mobile Crane","Nos","2026-01-19 11:22:36.709997","rental@machinery-exchange.com","120RT","/files/120rtt.pdf",0,0,0,0,"",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>120RT Mobile Crane (Rough Terrain) </p><p>Cummins QSB 6.7 liter, 179 kW brake horsepower (240HP) engine with 220V block heater, and Tier 3/Stage IIIA off-highway emissions, 120ton </p></div>","",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""ro7jq385h1""","2026-01-19 11:22:36.783076","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""2tofj33e0g""","Sinopower","2026-01-19 11:22:36.784141","rental@machinery-exchange.com","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
